code,continentCode,country,countryAr,agreementsAr,agreements,goalsAr,goals,signDateAr,signDate,continentAr,continent,entity,entityAr
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,"اتفاقية بين وزارة التربية والتعليم وجامعة الإمارات العربية المتحدة بشأن برنامج "" معلم المستقبل ","Memorandum of Understanding between the Ministry of Education and the United Arab Emirates University regarding the ""Future Teacher"" program",توفير دفعة جديدة من المعلمين بكفاءة عالية لتعليم الجيل القادم من الطلبة الدارسين في المدارس الحكومية,Providing a new batch of highly qualified teachers to teach the next generation of students studying in government schools,13/مايو/2019,,آسيا,Asia,United Arab Emirates University,جامعة الإمارات العربية المتحدة
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين وزارة التربية والتعليم ومؤسسة فاطمة بنت هزاع الثقافية.,Memorandum of Understanding between the Ministry of Education and the Fatima Bint Hazaa Cultural Foundation.,التعاون وتنسيق بين الطرفين في المبادرات الثقافية وتعليمية المختلفة لطلاب الدولة في مجال الأدب والفنون وتفاعل المجتمعي,"Cooperation and coordination between the two parties in various cultural and educational initiatives for state students in the field of literature, arts and community interaction",26/يونيو/2019,,آسيا,Asia,Fatima Bint Hazaa Cultural Foundation,مؤسسة فاطمة بنت هزاع الثقافية
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم مشترك بين وزارة التربية والتعليم والوكالة الدولية للطاقة المتجددة (إيرينا).,A joint memorandum of understanding between the Ministry of Education and the International Renewable Energy Agency (IRENA).,تعزيز الوعي العام والتعليم والبحث العلمي ومعرفة والابتكار في مجال الطاقة المتجددة,"Promoting public awareness, education, scientific research, knowledge and innovation in the field of renewable energy",26/يونيو/2019,,آسيا,Asia,International Renewable Energy Agency (IRENA),الوكالة الدولية للطاقة المتجددة (إيرينا)
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,وزارة التربية والتعليم ومؤسسة زايد العليا ووزارة تنمية المجتمع (أصحاب الهمم),Memorandum of Understanding between the Ministry of Education and the Zayed Higher Organization for People of Determination and the Ministry of Community Development (People of Determination),تصنيع الزي المدرسي طلبة الصفوف الأساسية + المتوسطة + الثانوية,,27/يونيو/2019,,آسيا,Asia,Zayed Higher Organization for People of Determination and the Ministry of Community Development (People of Determination),مؤسسة زايد العليا لأصحاب الهمم ووزارة تنمية المجتمع (أصحاب الهمم)
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين وزارة التربية والتعليم ومؤسسة زايد العليا لأصحاب الهمم بشأن دمج الطلبة أصحاب الهمم في المؤسسات التعليمية,Memorandum of Understanding between the Ministry of Education and the Zayed Higher Organization for People of Determination,التعاون وتبادل الخبرات وبناء إطار تنظيمي متكامل يعود بالأثر الإيجابي على طلبة أصحاب الهمم ودمجهم بالمدارس بما يناسب قدراتهم واحتياجاتهم,Memorandum of Understanding between the Ministry of Education and the Zayed Higher Organization for People of Determination on the integration of students with disabilities in educational institutions,6/نوفمبر/2019,,آسيا,Asia,Zayed Higher Organization for People of Determination,مؤسسة زايد العليا لأصحاب الهمم
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين وزارة التربية والتعليم وجامعة محمد الخامس ابوظبي بخصوص التعاون في مجال الدعم الاكاديمي والنهوض بالمهام التعليمية وتبادل الخبرات,"Memorandum of Understanding between the Ministry of Education and Mohammed Al Khamees University of Abu Dhabi regarding cooperation in the field of academic support, promotion of educational tasks and exchange of experiences",اعداد المناهج والخطط الدراسية وتدريس الطلاب على مستوى الصفوف (9-12) وذلك لأكاديمية الثقافة الإسلامية التي تشرف عليها وزارة التربية والتعليم,"The preparation of curricula and curricula and the teaching of students at the level of grades (9-12) for the Islamic Culture Academy, which is supervised by the Ministry of Education",8/ديسمبر/2019,,آسيا,Asia,Mohammed Al Khamees University of Abu Dhabi,جامعة محمد الخامس ابوظبي
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,اتفاقية بين وزارة التربية والتعليم والأـمانة العامة للمجلس التنفيذي - حكومة أم القيوين,Memorandum of Understanding between the Ministry of Education and the General Secretariat of the Executive Council - Umm Al Quwain Government,تعزيز التعاون المشترك وتبادل الخبرات والمعرفة في مجال تقديم الخدمات للمتعاملين في مركز الخدمات الموحد في مركز أم القيوين الثقافي من خلال تقديم خدمات وزارة التربية والتعليم,Enhancing joint cooperation and exchange of experiences and knowledge in the field of providing services to customers at the Unified Services Center at the Umm Al Quwain Cultural Center through the provision of services of the Ministry of Education,30/ديسمبر/2019,,آسيا,Asia,General Secretariat of the Executive Council - Umm Al Quwain Government,الأمانة العامة للمجلس التنفيذي - حكومة أم القيوين
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين وزارة التربية والتعليم ومركز إرادة للعلاج والتأهيل,Memorandum of Understanding between the Ministry of Education and Erada Center for Treatment and Rehabilitation,ترسيخ مبادئ الاخلاقيات وتجنب افة الإدمان للمخدرات,Strengthening cooperation and coordination between the two parties in the field of prevention and treatment of addiction to drugs,2019,,آسيا,Asia,Erada Center for Treatment and Rehabilitation,مركز إرادة للعلاج والتأهيل
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,وزارة التربية والتعليم وكلية الامارات للتطوير التربوي,Memorandum of Understanding between the Ministry of Education and Emirates College for Educational Development,تقديم برامج للتطوير والاختبارات والاستشارات,"Providing programs for development, tests and consultations",2019,,آسيا,Asia,Emirates College for Educational Development,كلية الامارات للتطوير التربوي
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,اتفاقية تعاون بين كل من وزارة التربية والتعليم ودائرة التعليم والمعرفة,A cooperation agreement between the Ministry of Education and the Department of Education and Knowledge,الاشراف على البعثات الطلابية,Supervision of student missions,7/فبراير/2019,,آسيا,Asia,Department of Education and Knowledge,دائرة التعليم والمعرفة
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين وزارة التربية والتعليم ومؤسسة الإمارات للآداب,Memorandum of Understanding between the Ministry of Education and Emirates Literature Foundation,التعاون في استكشاف الفرص وتطوير القدرات المهنية في تشجيع التعلم من خلال نشر الأدب والقراءة وتشجيع مشاركة المدارس الحكومية في مهرجان طيران الإمارات للآداب للمشاركة في جميع محافل المهرجان وبرامجه,Cooperation in exploring opportunities and developing professional capabilities in encouraging learning through the dissemination of literature and reading and encouraging the participation of government schools in the Emirates Air Festival for Literature to participate in all the forums of the festival and its programs,7/يناير/2020,,آسيا,Asia,Emirates Literature Foundation,مؤسسة الإمارات للآداب
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين وزارة التربية والتعليم والمتحدة للنشر التعليمي بشأن نشر وتوزيع مناهج وزارة التربية والتعليم,Memorandum of Understanding between the Ministry of Education and United Educational Publishing,تعاون الطرفين في مجال نشر وتوزيع مناهج الوزارة وذلك لنشر وتفعيل قاعدة التبادل المعرفي بين الدول وتقديم الفرص التعليمية للراغبين وتعزيز التنمية العلمية والأكاديمية عند الافراد,"The cooperation of the two parties in the field of publishing and distributing the ministry's curricula in order to disseminate and activate the base of knowledge exchange between countries, provide educational opportunities for those interested, and promote scientific and academic development among individuals.",1/مارس/2020,,آسيا,Asia,United Educational Publishing,المتحدة للنشر التعليمي
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة التفاهم وزارة التربية والتعليم مع شركة أبوظبي لطاقة المستقبل (مصدر).,Memorandum of Understanding between the Ministry of Education and Abu Dhabi Future Energy Company (Masdar).,التعاون بين الطرفين في مجال ترخيص الأنشطة التعليمية الخاصة بالتعليم العالي,"The two parties agreed to cooperate in the field of education and training, and to exchange experiences and knowledge in the field of renewable energy and sustainability.",13/يناير/2020,,آسيا,Asia,Abu Dhabi Future Energy Company (Masdar).,شركة أبوظبي لطاقة المستقبل (مصدر).
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين وزارة التربيــة والتعليـــم وشركة مؤسســة أبوظــبي للطاقــة.,Memorandum of Understanding between the Ministry of Education and Abu Dhabi Energy Corporation.,التعاون في تعزيز برامج استدامة الطاقة وتعزيز الكفاءة الطاقة وتشجيع التوعية والبرامج في تحقيق كفاءة الطاقة,"The two parties agreed to cooperate in the field of education and training, and to exchange experiences and knowledge in the field of renewable energy and sustainability.",14/يناير/2020,,آسيا,Asia,Abu Dhabi Future Energy Company (Masdar).,شركة مؤسســة أبوظــبي للطاقــة.
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم مشترك بين وزارة التربية وهيئة تنظيم قطاع الاتصالات,Memorandum of Understanding between the Ministry of Education and the Telecommunications Regulatory Authority.,التعاون والعمل المشترك بين الطرفين في مجال أمن المعلومات وبشأن مخاطر الفضاء الالكتروني وفي مجال الإرشاد والتعليم والتوعية وجودة أمن المعلومات,"The two parties agreed to cooperate in the field of information security and cyber security, and to exchange experiences and knowledge in the field of information security and cyber security.",5/فبراير/2020,,آسيا,Asia,Telecom Regulatory Authority.,هيئة تنظيم قطاع الاتصالات
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين وزارة التربية والتعليم ومجموعة الإمارات,Memorandum of Understanding between the Ministry of Education and the Emirates Group.,دعم الطرف الثاني (مجموعة الإمارات) لمبادرات الوزارة في مجال العلوم والتكنولوجيا والابتكار والريادة لتعزيز قدرات الطلبة الاماراتيين.,"The second party (Emirates Group) supports the Ministry's initiatives in the field of science, technology, innovation and entrepreneurship to enhance the capabilities of Emirati students.",6/فبراير/2020,,آسيا,Asia,Emirates Group.,مجموعة الإمارات
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين وزارة التربية والتعليم بدولة الامارات العربية المتحدة ومركز اليابان للتعاون الدولي بشأن إدراج اللغة اليابانية ضمن مناهج التعليم بمدارس دولة الإمارات العربية المتحدة,Memorandum of Understanding between the Ministry of Education of the United Arab Emirates and the Japan International Cooperation Center on the inclusion of the Japanese language in the curricula of education in the schools of the United Arab Emirates.,إدراج اللغة اليابانية ضمن مناهج التعليم في مدارس الثانوية الحكومية بدولة الإمارات العربية المتحدة,"The two parties agreed to cooperate in the field of education and training, and to exchange experiences and knowledge in the field of renewable energy and sustainability.",21/أبريل/2020,,آسيا,Asia,Japan International Cooperation Center.,مركز اليابان للتعاون الدولي
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مشروع اتفاقية تفاهم وتعاون بين وزارة التربية والتعليم وجامعة محمد الخامس ابوظبي في مجال تطوير مناهج وطرق تدريس اللغة العربية,Memorandum of Understanding between the Ministry of Education and Mohammed V University Abu Dhabi in the field of developing curricula and teaching methods for the Arabic language.,وضع إطار للتعاون والتنسيق بين الطرفين في مجال تطوير المناهج وطرق التدريس الخاصة باللغة العربية وإعداد الأطر المؤهلة في اللغة العربية وتبادل الخبرات,"The two parties agreed to cooperate in the field of education and training, and to exchange experiences and knowledge in the field of renewable energy and sustainability.",29/يونيو/2020,,آسيا,Asia,Mohammed V University Abu Dhabi.,جامعة محمد الخامس ابوظبي
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين وزارة التربية والتعليم ومؤسسة التنمية الأسرية,Memorandum of Understanding between the Ministry of Education and the Family Development Foundation.,تبادل الخبرات في مجال البحوث والدراسات ذات العلاقة بتطوير الخدمات والبرامج مشتركة بين الطرفين تستهدف الأسرة والأطفال والشباب والعاملين مع الطلبة (المعلمين والأخصائيين الاجتماعيين) والتعاون في مجال الطفولة المبكرة والمعايير الخاصة بها.,"Exchanging experiences in the field of research and studies related to the development of joint services and programs between the two parties targeting the family, children, youth and those working with students (teachers and social workers) and cooperation in the field of early childhood and its standards.",6/سبتمبر/2020,,آسيا,Asia,Family Development Foundation.,مؤسسة التنمية الأسرية
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين وزارة الصحة ووقاية المجتمع ووزارة التربية والتعليم,Memorandum of Understanding between the Ministry of Health and Prevention and the Ministry of Education.,تحديد أطر التعاون بين الطرفين في مجال الفحص الطبي للطلبة خريجي الصف الثاني عشر والراغبين بالالتحاق بمؤسسات التعليم العالي (الجامعات والكليات) الحكومية والخاصة المرخصة من وزارة التربية والتعليم تحقيقا لمبادرة المسرعات الحكومية الخاصة بوزارة الصحة ووقاية المجتمع.,"Determining the frameworks for cooperation between the two parties in the field of medical examination for students who are graduates of the twelfth grade and who wish to join government and private higher education institutions (universities and colleges) licensed by the Ministry of Education, in order to achieve the government accelerators initiative of the Ministry of Health and Prevention.",7/سبتمبر/2020,,آسيا,Asia,Ministry of Health and Prevention.,وزارة الصحة ووقاية المجتمع
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,"مذكرة تفاهم بين وزارة التربية والتعليم وشركة ""كانون ميدل إيست",Memorandum of Understanding between the Ministry of Education and Canon Middle East.,تدريب الطلبة وتعزيز قدراتهم في مجال التصوير الفوتوغرافي وتمكين الطرف الأول (الوزارة) من الاستفادة من الخبرة الواسعة والمعمقة للطرف الثاني في هذا المجال,Training students and enhancing their capabilities in the field of photography and enabling the first party (the Ministry) to benefit from the extensive and in-depth experience of the second party in this field.,25/سبتمبر/2020,,آسيا,Asia,Canon Middle East.,"شركة ""كانون ميدل إيست"
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكـــرة تـفــاهم بين وزارة التربية والتعليم (مركز تدريب المعلمين) ومؤسسة الشيخ سعود بن صقر القاسمي لبحوث السياسة العامة,Memorandum of Understanding between the Ministry of Education (Teacher Training Center) and Sheikh Saud bin Saqr Al Qasimi Foundation for Policy Research.,حصر الاحتياجات التدريبية للتربويين في المدارس الحكومية والخاصة في إمارة رأس الخيمة وتوفير الفرص اللازمة لتحسين كفاءة التربويين العاملين في أمارة رأس الخيمة بناءً على حصر الاحتياجات التدريبية بهدف رفع مستوى التعليم بشكل عام في الإمارة.,Identifying the training needs of educators in government and private schools in the Emirate of Ras Al Khaimah and providing the necessary opportunities to improve the efficiency of educators working in the Emirate of Ras Al Khaimah based on identifying training needs with the aim of raising the level of education in general in the Emirate.,29/سبتمبر/2020,,آسيا,Asia,Sheikh Saud bin Saqr Al Qasimi Foundation for Policy Research.,مؤسسة الشيخ سعود بن صقر القاسمي لبحوث السياسة العامة
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مشروع مذكرة تفاهم مذكرة تفاهم بين وزارة التربية والتعليم ودائرة التنمية الاقتصادية - رأس الخيمة,Memorandum of Understanding between the Ministry of Education and Ras Al Khaimah Economic Development Department.,توأمة التعاون والمشورة في الأعمال المشتركة فيما يتعلق بإجراءات التراخيص الاقتصادية وتبادل البيانات مما يسهل إجراءات تجديد التراخيص الاقتصادية تلقائياً.,"Twinning cooperation and consultation in joint work regarding economic licensing procedures and data exchange, which facilitates the procedures for automatically renewing economic licenses.",12/نوفمبر/2020,,آسيا,Asia,Ras Al Khaimah Economic Development Department.,دائرة التنمية الاقتصادية - رأس الخيمة
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مشروع مذكرة تفاهم مذكرة تفاهم بين وزارة التربية والتعليم وهلا بالصين,Memorandum of Understanding between the Ministry of Education and Hala China.,"لإرساء التعاون فيما بينهما وخاصة الترويج لمبادرة ""تعلم في الإمارات"" في جمهورية الصين الشعبية","To establish cooperation between them, especially to promote the ""Learn in the Emirates"" initiative in the People's Republic of China.",23/نوفمبر/2020,,آسيا,Asia,Hala China.,هلا بالصين
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم وتعاون بين وزارة التربية والتعليم واقدر ونوليج بوينت,Memorandum of Understanding and Cooperation between the Ministry of Education and Aqdar and Nolij Point.,"تفعيل التعاون فيما بينهم بشان تطبيق "" مبادرة اقدر للمدارس الآمنة رقمياً"".","To activate cooperation between them regarding the application of the ""Aqdar Initiative for Digitally Safe Schools"".",00/نوفمبر/2020,,آسيا,Asia,Aqdar + Nolij Point.,اقدر + نوليج بوينت
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة التفاهم الموقعة بين وزارة التربية والتعليم والهيئة العربية للمسرح,Memorandum of Understanding signed between the Ministry of Education and the Arab Theatre Authority.,تعزيز التواصل والتعاون بين الطرفين في مختلف المجالات المتعلقة بالمسرح المدرسي,Enhancing communication and cooperation between the two parties in various fields related to the school theatre,23 /مارس/2021,,آسيا,Asia,Arab Theatre Authority - Sharjah.,الهيئة العربية للمسرح - الشارقة
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين وزارة التربية والتعليم وشركة إيدج,Memorandum of Understanding between the Ministry of Education and Edge Holding.,تعزيز الوعي العام والتعليم والبحث ومشاركة المعرفة والابتكار واتاحة الفرصة للمشاركة في مبادرات تساعدهم في فهم وتشكيل الاهتمامات بالصناعة ومساراتهم المهنية,"Enhancing public awareness, education, research, knowledge sharing, innovation, and providing the opportunity to participate in initiatives that help them understand and shape industry interests and career paths.",4/أبريل/2021,,آسيا,Asia,Edge Holding.,إدج القابضة
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين وزارة التربية والتعليم ومؤسسة سلامة بنت حمدان آل نهيان,Memorandum of Understanding between the Ministry of Education and the Salama Bint Hamdan Al Nahyan Foundation,1.  تمكين الفنانين الإماراتيين من حملة الشهادات العليا في الفنون 2. دعم الفنانين الإماراتيين لتطوير مهن مستدامة وممارسة الفنون مدى الحياة 3. تطوير المعيار المحلي للفنانين الإماراتيين المحترفين والراسخين,1. Enabling Emirati artists to hold higher degrees in the arts 2. Supporting Emirati artists to develop sustainable careers and lifelong arts practice 3. Developing a local benchmark for professional and established Emirati artists,11/07/2021,,آسيا,Asia,Salama Bint Hamdan Al Nahyan Foundation,مؤسسة سلامة بنت حمدان آل نهيان
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,اتفاقية تعاون بين وزارة التربية والتعليم ومعهد الامارات للدراسات المصرفية والمالية,Cooperation Agreement between the Ministry of Education and the Emirates Institute for Banking and Financial Studies,ايفاد مجموعة من الطلبة المتفوقين من المواطنين الى الجامعات والمعاهد العالمية لدراسة برنامجي البكالوريوس والدراسات العليا في التخصصات المصرفية والمالية وفقا للوارد في بنود هذه الاتفاقية.,Dispatching a group of outstanding national students to international universities and institutes to study bachelor's and postgraduate programs in banking and financial specializations in accordance with the provisions of this agreement.,10/أغسطس/2021,,آسيا,Asia,Emirates Institute for Banking and Financial Studies,معهد الامارات للدراسات المصرفية والمالية
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,"مذكرة تفاهم بين وزارة الدفــــــــاع ممثلة بـ ""هيئة الخدمة الوطنية والاحتياطية"" ووزارة التربية والتعليم ممثلة بـ "" إدارة مركز البحوث وبيانات التعليم","Memorandum of Understanding between the Ministry of Defense, represented by the National and Reserve Service Authority, and the Ministry of Education, represented by the Research and Education Data Center",1. يتبادل الطرفان البيانات المتفق عليها بالمرفق حسب ما يتم تحديده من كل طرف. <br/>2. يوفر كل طرف للطرف الآخر خاصية الاطلاع على البيانات المتفق عليها بالمرفق.,1. The two parties exchange the agreed data attached as determined by each party. <br/>2. Each party provides the other party with the ability to view the agreed data attached.,06/سبتمبر/2021,,آسيا,Asia,"Ministry of Defense, represented by the National and Reserve Service Authority",وزارة الدفــــــــاع ممثلة بـهيئة الخدمة الوطنية والاحتياطية
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين وزارة التربية والتعليم (المركز الوطني للمؤهلات) وحكومة عجمان (دائرة الموارد البشرية),Memorandum of Understanding between the Ministry of Education (National Qualifications Center) and Ajman Government (Human Resources Department),1- تحقيق التعاون الاستراتيجي من خلال تطبيق المنظومة الوطنية للمؤهلات وتطوير المؤهلات المهنية وتشكيل اللجان المتخصصة للقطاعات المختلفة. 2- تعزير التعليم والتدريب المهني وتقييم البرامج المهنية والدورات التدريبة في مؤسسات التعليم والتدريب المهني والمراكز التدريبية وفقا للمعايير المعتمدة في هذا الإطار. 3- المساهمة في تطوير كفاءات القوى العاملة وتقييم المؤهلات الاحترافية والخبرات الوظيفية والدورات التدريبية للموظفين العاملين في القطاعات المختلفة في امارة عجمان. 4- تبادل البيانات حول الوظائف المطلوبة في سوق العمل والقيام بالدراسات المسحية من اجل التعرف على المهارات التخصصية المستقبلية. 5- مشاركة المعلومات والاحصاءات للأفراد المستفيدين من تفعيل المنظومة الوطنية للمؤهلات.,"1- Achieving strategic cooperation through the application of the National Qualifications System, developing professional qualifications, and forming specialized committees for the various sectors. 2- Enhancing vocational education and training, evaluating professional programs and training courses in educational and vocational training institutions and centers in accordance with the standards adopted in this framework. 3- Contributing to the development of the competencies of the workforce, evaluating professional qualifications, job experiences, and training courses for employees working in various sectors in the Emirate of Ajman. 4- Exchange data on the required jobs in the labor market and conduct surveys to identify future professional skills. 5- Sharing information and statistics for individuals benefiting from the activation of the National Qualifications System.",22/سبتمبر/2021,,آسيا,Asia,Ajman Government (Human Resources Department),حكومة عجمان (دائرة الموارد البشرية)
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,اتفاقية بين الهيئة الاتحادية للهوية والجنسية ووزارة التربية والتعليم,Agreement between the Federal Authority for Identity and Citizenship and the Ministry of Education,1- بناء علاقات شراكة فعالة وتحقيق مستوى عالٍ من تنفيذ الأهداف الاستراتيجية المشتركة بين الطرفين. 2- تبادل الدراسات ذات العلاقة المشتركة باختصاصات الطرفين في مجال عملهما. 3- التنسيق بين الطرفين في تنفيذ المشاريع المشتركة بهدف ضمان حسن التنفيذ وسرعة الإنجاز.,1- Building effective partnership relations and achieving a high level of implementation of the common strategic goals between the two parties. 2- Exchange studies related to the specialties of the two parties in their field of work. 3- Coordination between the two parties in implementing joint projects in order to ensure good implementation and speed of completion.,16/سبتمبر/2021,,آسيا,Asia,Federal Authority for Identity and Citizenship,الهيئة الاتحادية للهوية والجنسية
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين المركز الإقليمي للتخطيط التربوي (اليونسكو) وجامعة أبوظبي,Memorandum of Understanding between the Regional Center for Educational Planning (UNESCO) and Abu Dhabi University,تطوير العلاقات بين الطرفين في مجال التخطيط التربوي والقيادة والإدارة التربوية وتطوير السياسات التعليمية، علاوةً على <br/>ذلك، فإنّ مذكرة التفاهم هذه تمثّل تعبيراً عن رغبة الطرفين في <br/>دعم جهود كلّ منهما الرامية إلى تشجيع قيام برامج تدريبية،  والرامية إلى تيسير عملية التواصل وتبادل المعلومات فيما بينهما.,"Developing relations between the two parties in the field of educational planning, leadership, educational administration, and developing educational policies. In addition, this memorandum of understanding represents an expression of the desire of the two parties to support the efforts of each of them aimed at encouraging the establishment of training programs, and aimed at facilitating the process of communication and exchange of information between them.",22/سبتمبر/2021,,آسيا,Asia,Abu Dhabi University,جامعة أبوظبي
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,اتفاقية تعاون بين وزارة التربية والتعليم ومؤسسة عبدالله الغرير للتعليم,Cooperation Agreement between the Ministry of Education and the Abdullah Al Ghurair Foundation for Education,التعاون المشترك فيما بينهما بهدف إنشاء ائتلاف جامعات دولة الإمارات العربية المتحدة للتعلم عبر الإنترنت ذي الجودة العالية، بالتعاون مع عدد مختار من مؤسسات التعليم العالي بهدف إعداد وتطوير وتقديم برامج تعليمية عالية الجودة ومعتمدة على شبكة الإنترنت بشكل كامل أو بأسلوب التعليم المختلط، وذلك بحلول العام 2022.,"Joint cooperation between them with the aim of establishing a coalition of universities in the United Arab Emirates for high-quality online learning, in cooperation with a selected number of higher education institutions with the aim of preparing, developing and providing high-quality educational programs that are fully or blended online, by 2022.",18/أكتوبر/2021,,آسيا,Asia,Abdullah Al Ghurair Foundation for Education,مؤسسة عبدالله الغرير للتعليم
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين وزارة التربية والتعليم ومركز أبوظبي للغة العربية,Memorandum of Understanding between the Ministry of Education and Abu Dhabi Arabic Language Center,تهدف المذكرة لتطوير تعليم اللغة العربية وتعلمها من خلال إعداد وتنفيذ مشاريع بحثية ودراسات معنية وإصدار التقارير المتعلقة بتطوير مناهج اللغة العربية ومستقبلها في العالم العربي.,The memorandum aims to develop the teaching and learning of the Arabic language through the preparation and implementation of research projects and relevant studies and the issuance of reports related to the development of Arabic language curricula and its future in the Arab world.,06/ديسمبر/2021,,آسيا,Asia,Abu Dhabi Arabic Language Center,مركز أبوظبي للغة العربية
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,اتفاقية تعاون بين المركز الاتحادي للتنافسية والاحصاء ووزارة التربية والتعليم (مؤشر نضج البيانات الحكومية),Cooperation Agreement between the Federal Competitiveness and Statistics Center and the Ministry of Education (Government Data Maturity Index),التعاون لتبادل البيانات ولبناء وتعزيز القدرات، بما يصب باتجاه تحقيق الأهداف والغايات والرؤى والسياسات والخطط والبرامج الاستراتيجية في مجال إتاحة المعلومات والبيانات الداعمة لصناع القرار في الدولة,"Cooperation to exchange data and to build and enhance capacities, in a way that contributes to achieving the objectives, purposes, visions, policies, plans and strategic programs in the field of providing information and data supporting decision-makers in the country",17/نوفمبر/2021,,آسيا,Asia,Federal Competitiveness and Statistics Center,المركز الاتحادي للتنافسية والإحصاء
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين وزارة التربية والتعليم ومؤسسة الامارات للتعليم المدرسي بشأن الخدمات المشتركة مع الوزارة في العقود الخاصة بتقنية المعلومات,Memorandum of Understanding between the Ministry of Education and the Emirates Foundation for School Education regarding joint services with the Ministry in IT contracts,توضيح احتساب الرسوم الشهرية والتي يجب على الطرفين دفعها عن خطوط الانترنيت واشتراك مركز اتصال الدعم الفني,Clarifying the calculation of the monthly fees that both parties must pay for Internet lines and the subscription of the technical support call center,09/نوفمبر/2021,,آسيا,Asia,Emirates Foundation for School Education,مؤسسة الامارات للتعليم المدرسي
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين المركز الإقليمي للتخطيط التربوي - اليونسكو ومكتب التربية العربي لدول الخليج,Memorandum of Understanding between the Regional Bureau for Educational Planning - UNESCO and the Arab Bureau of Education for the Gulf States,دعم أواصر التعاون والشـراكة بينهما في مجالات التخطيط التربوي، والقيادة والإدارة، والبحوث التربوية، والتدريب المتخصص. فقد التقت رغبة الطرفين في التعاون والاستفادة من الخبرات التربوية لديهما في المجالات المشتركة؛ بما يسهم في تحقيق أهدافهما الاستراتيجية,"Supporting the bonds of cooperation and partnership between them in the fields of educational planning, leadership and management, educational research, and specialized training. The desire of the two parties to cooperate and benefit from their educational experiences in the common fields met, which contributes to achieving their strategic goals",14/ديسمبر/2021,,آسيا,Asia,Arab Bureau of Education for the Gulf States,مكتب التربية العربي لدول الخليج